AddressID:ID,Address,:LABEL
addr_0001,"52 Montclair Ave, Glen Waverley VIC 3150, Australia",Address
addr_0002,"48 Easey St, Collingwood VIC 3066, Australia",Address
addr_0003,"St James, 555 Bourke St, Melbourne VIC 3004, Australia",Address
addr_0004,"517 Flinders Ln, Melbourne VIC 3004, Australia",Address
addr_0005,"651 Church St, Richmond VIC 3121, Australia",Address
addr_0006,"143 MacPherson St, Bronte NSW 2024, Australia",Address
addr_0007,"479 Crown St, Surry Hills NSW 2010, Australia",Address
addr_0008,"12-16 Argyle St, The Rocks NSW 2000, Australia",Address
addr_0009,"Woollahra Hotel, 116 Queen St, Woollahra NSW 2025, Australia",Address
addr_0010,"83 Percival Rd, Stanmore NSW 2048, Australia",Address
addr_0011,"Lyne Park, Vickery Ave, Rose Bay NSW 2029, Australia",Address
addr_0012,"61 Little Collins St, Melbourne VIC 3004, Australia",Address
addr_0013,"1-7 Albion Pl, Sydney NSW 2000, Australia",Address
addr_0014,"184-188 Elizabeth St, Sydney NSW 2000, Australia",Address
addr_0015,"4 Pitt St, Redfern NSW 2016, Australia",Address
addr_0016,"338 Bridge Rd, Richmond VIC 3121, Australia",Address
addr_0017,"Little Bourke St & Little William St, Melbourne VIC 3004, Australia",Address
addr_0018,"The Beauty Scene, 2 Moore Rd, Freshwater NSW 2096, Australia",Address
addr_0019,"Shangri la Hotel - Cafe Mix, 176 Cumberland St, The Rocks NSW 2000, Australia",Address
addr_0020,"50-58 Hunter St, Sydney NSW 2000, Australia",Address
addr_0021,"83-85 Foveaux St, Surry Hills NSW 2010, Australia",Address
addr_0022,"85 Reynolds St, Balmain NSW 2041, Australia",Address
addr_0023,"101 George St, The Rocks NSW 2000, Australia",Address
addr_0024,"199 Castlereagh St, Sydney NSW 2000, Australia",Address
addr_0025,"44 Macleay St, Elizabeth Bay NSW 2011, Australia",Address
addr_0026,"490 Crown St, Surry Hills NSW 2010, Australia",Address
addr_0027,"Queen Victoria Building, 455 George St, Sydney NSW 2000, Australia",Address
addr_0028,"10 Lamrock Ave, Russell Lea NSW 2046, Australia",Address
addr_0029,"61-69 Macquarie St, Sydney NSW 2000, Australia",Address
addr_0030,"Barangaroo Anadara, 23 Barangaroo Ave, Barangaroo NSW 2000, Australia",Address
addr_0031,"51 Bridge St, Sydney NSW 2000, Australia",Address
addr_0032,"1-5 Railway St, Chatswood NSW 2067, Australia",Address
addr_0033,"35 New Canterbury Rd, Petersham NSW 2049, Australia",Address
addr_0034,"2 Phillip St, Parramatta NSW 2150, Australia",Address
addr_0035,"Cammeray Rd, Cammeray NSW 2062, Australia",Address
addr_0036,"206 Bourke St, Melbourne VIC 3004, Australia",Address
addr_0037,"132 Mitchell St, Maidstone VIC 3012, Australia",Address
addr_0038,"Radisson Blu Hotels & Resorts, 27 O'Connell St, Sydney NSW 2000, Australia",Address
addr_0039,"121 Wellington Rd, East Brisbane QLD 4169, Australia",Address
addr_0040,"5 Crewe Pl, Rosebery NSW 2018, Australia",Address
addr_0041,"Crown Entertainment Complex, Whiteman St, Southbank VIC 3006, Australia",Address
addr_0042,"Rydges Southbank, 9 Glenelg St, South Brisbane QLD 4101, Australia",Address
addr_0043,"66 Hardware Ln, Melbourne VIC 3004, Australia",Address
addr_0044,"River Cafe, Stanley St, South Bank QLD 4101, Australia",Address
addr_0045,"206 Bourke St, Melbourne VIC 3004, Australia",Address
addr_0046,"50 Murray St, Sydney NSW 2000, Australia",Address
addr_0047,"393-399 Sussex St, Haymarket NSW 2000, Australia",Address
addr_0048,"Radisson, 380 William St, Melbourne VIC 3000, Australia",Address
addr_0049,"Crown Entertainment Complex, 8 Whiteman St, Southbank VIC 3006, Australia",Address
addr_0050,"12-18 Meyers Pl, Melbourne VIC 3004, Australia",Address
addr_0051,"Gallery of Modern Art, Stanley St, South Brisbane QLD 4101, Australia",Address
addr_0052,"275 George St, Brisbane City QLD 4000, Australia",Address
addr_0053,"Evan Walker Brg, Southbank VIC, Australia",Address
addr_0054,"269 King St, Melbourne VIC 3004, Australia",Address
addr_0055,"176 Toorak Rd, South Yarra VIC 3141, Australia",Address
addr_0056,"Miss Maud, 97 Murray St, Perth WA 6000, Australia",Address
addr_0057,"12-18 Yarra Pl, South Melbourne VIC 3205, Australia",Address
addr_0058,"29 Stanley St, Strathpine QLD 4500, Australia",Address
addr_0059,"Port Office Hotel, 40 Edward St, Brisbane City QLD 4000, Australia",Address
addr_0060,"Riverside Centre, 123 Eagle St, Brisbane City QLD 4000, Australia",Address
addr_0061,"28 Market St, Newmarket QLD 4051, Australia",Address
addr_0062,"63 Skyring Ter, Newstead QLD 4006, Australia",Address
addr_0063,"176 Monier Rd, Darra QLD 4076, Australia",Address
addr_0064,"Central 240, 240 Varsity Pde, Varsity Lakes QLD 4227, Australia",Address
addr_0065,"8 Quay St, Haymarket NSW 2000, Australia",Address
addr_0066,"299-305 Sussex St, Sydney NSW 2000, Australia",Address
addr_0067,"53 Racecourse Rd, Hamilton QLD 4007, Australia",Address
addr_0068,"Atrium Cafe, 190 Elizabeth St, Brisbane City QLD 4000, Australia",Address
addr_0069,"Treasury Building, George St, Brisbane City QLD 4000, Australia",Address
addr_0070,"NAB, 2-10 Darling Dr, Sydney NSW 2000, Australia",Address
addr_0071,"Manly Wharf Hotel, East Esplanade, 39 East Espl, Manly NSW 2095, Australia",Address
