HotelID:ID,Name,URL,Price,Website,:LABEL
hotel_0001,Little National Hotel Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d21228643-Reviews-Little_National_Hotel_Sydney-Sydney_New_South_Wales.html,"HKD 1,271",https://www.tripadvisor.com.au/Commerce?p=TABAIndependentHotels&src=0&geo=21228643&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=262261946&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYeaWtkx0sZ7mNKigsNWMdxQBgofU_9H3k8JvfmCIyMC-4oXjH47UVZhZFMlkuBdOg&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=1bbfd3d1356d337eeda1bafd50d41a36e&ba_uid=17224433-3fab-4a57-b977-0cc1fc43f090,Hotel
hotel_0002,The Fullerton Hotel Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256659-Reviews-The_Fullerton_Hotel_Sydney-Sydney_New_South_Wales.html,"HKD 1,627",https://www.tripadvisor.com.au/Commerce?p=TABAIndependentHotels&src=0&geo=256659&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=262261952&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkdaZC80YaLWNyVnYWsKjIS0NTh5Hz9Mm71Efx0yNcvSHtWY6rFBoq2UCaTwlzkzR7A&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=16682b7cf8e95991fc4ace45a79487b53&ba_uid=090bddb0-bc1e-4073-b7ea-d120d74035e6,Hotel
hotel_0003,Four Seasons Hotel Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256544-Reviews-Four_Seasons_Hotel_Sydney-Sydney_New_South_Wales.html,"HKD 1,983",https://www.tripadvisor.com.au/Commerce?p=TABAIndependentHotels&src=0&geo=256544&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=262261957&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkUGbbMQlGmuKGXZyKHTffAXZwZSh2zyzhDFeMlK9G9nh0xNFIcQ7lpr7atJP8Ug7sA&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=2&cs=185f384452b8e3a75592982b359bc0f14&ba_uid=48b534e2-d114-4d7d-8e42-03af741e33b6,Hotel
hotel_0004,"Meriton Suites Sussex Street, Sydney",https://www.tripadvisor.com.au/Hotel_Review-g255060-d17514943-Reviews-Meriton_Suites_Sussex_Street_Sydney-Sydney_New_South_Wales.html,"HKD 1,102",https://www.tripadvisor.com.au/Commerce?p=Meriton_BA&src=201942899&geo=17514943&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=40655&bucket=944587&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=262261962&managed=false&capped=false&gosox=AX-CE3jzoK8nsTHQ9o41JOgjQviHlJQg6b-lnBPg98zF3X_fnxD6aQ5SQOyWabmlLb9RJ1lSO5PU04LOwt-nK-d8AeillSiRMsq6f4oBbn0&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&dated=true&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=1a46e0d5a110661a49762075c596a2304&ba_uid=08eeb446-99de-4881-9db2-432a38ab3fd7,Hotel
hotel_0005,Meriton Suites Campbell Street Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d2183915-Reviews-Meriton_Suites_Campbell_Street_Sydney-Sydney_New_South_Wales.html,HKD 997,https://www.tripadvisor.com.au/Commerce?p=Meriton_BA&src=201942895&geo=2183915&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=40655&bucket=944587&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=262261968&managed=false&capped=false&gosox=AX-CE3jzoK8nsTHQ9o41JOgjQviHlJQg6b-lnBPg98zF3X_fnxD6aQ5SQOyWabmln6aqDJKfLQVzNjYUjRIlOdrAeOriAClNG-qLZkCjeGw&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&dated=true&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=1d6a0a062195c2a91436e547331ac30a5&ba_uid=3f2a159e-5bbe-463a-a74f-c94b133eed46,Hotel
hotel_0006,Rydges World Square Sydney Hotel,https://www.tripadvisor.com.au/Hotel_Review-g255060-d257281-Reviews-Rydges_World_Square_Sydney_Hotel-Sydney_New_South_Wales.html,"HKD 1,306",https://www.tripadvisor.com.au/Commerce?p=EVENT_BA&src=187828894&geo=257281&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=39860&bucket=939678&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=262261974&managed=false&capped=false&gosox=AX-CE3jzoK8nsTHQ9o41JOgjQviHlJQg6b-lnBPg98zF3X_fnxD6aQ5SQOyWabmlp7EmrlmoilGtxXDDHiqbOTI2qSh5Gh7YhgSMp15fIIY&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&dated=true&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=15398a1180b68ea7b7205b40adb07cd8a&ba_uid=7988f6dc-9b83-4df4-9d05-ccdaac2631fd,Hotel
hotel_0007,"Meriton Suites Kent Street, Sydney",https://www.tripadvisor.com.au/Hotel_Review-g255060-d629301-Reviews-Meriton_Suites_Kent_Street_Sydney-Sydney_New_South_Wales.html,HKD 997,https://www.tripadvisor.com.au/Commerce?p=Meriton_BA&src=201942906&geo=629301&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=40655&bucket=944587&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=262261979&managed=false&capped=false&gosox=AX-CE3jzoK8nsTHQ9o41JOgjQviHlJQg6b-lnBPg98zF3X_fnxD6aQ5SQOyWabmlRSWr1pdE4i1LU4aVyUZydjuTPsEfMa70Br2xwrI6ws0&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&dated=true&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=1d18ac785c26c1be792c1fe47a52afc89&ba_uid=65713fa6-14ed-4b50-99d9-a7313976b28a,Hotel
hotel_0008,Radisson Blu Plaza Hotel Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256629-Reviews-Radisson_Blu_Plaza_Hotel_Sydney-Sydney_New_South_Wales.html,"HKD 1,516",https://www.tripadvisor.com.au/Commerce?p=TABAIndependentHotels&src=0&geo=256629&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=262261985&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYqktBqr69wl_Ao4E62f210mBUJDIxpKVgXIZMIu22ZcG-W8cVDokTufeJZVuoRLyw&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=145b816bde52f5ff634872e09e0c82d80&ba_uid=873bb70f-4260-4ec9-b456-28a2037bc25a,Hotel
hotel_0009,Sheraton Grand Sydney Hyde Park,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256637-Reviews-Sheraton_Grand_Sydney_Hyde_Park-Sydney_New_South_Wales.html,"HKD 1,569",https://www.tripadvisor.com.au/Commerce?p=Marriott_BA&src=183960249&geo=256637&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=38059&bucket=934872&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=262261990&managed=false&capped=false&gosox=g3xMt9YCHBy3ZUg-YypssegjQviHlJQg6b-lnBPg98x_z9Z0XP9pjcZi3RyRnEOZJodyeK3pThbTWnYkjvGcIkcyvYUR9Cra1TngsODDHT0&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&dated=true&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=1506d96918b5bca7cbfa81576150904ce&ba_uid=fe85ff22-f6d3-4163-bd3f-b13a89216b39,Hotel
hotel_0010,The Star Grand Hotel And Residences,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256649-Reviews-The_Star_Grand_Hotel_And_Residences-Sydney_New_South_Wales.html,"HKD 1,254",,Hotel
