IntroductionID:ID,Introduction,:LABEL
intro_0001,看到餐厅名字，就知道这家是吃西班牙菜的地方了。就餐气氛十分活跃，餐厅墙上的涂鸦显得非常有活力。在这里能吃到经典的西班牙美食，海鲜烩饭、海鲜锅等份量极大，两人一起分享可能刚刚好。,Introduction
intro_0002,墨尔本市中心不容错过的一家咖啡馆，装修前卫，店内的氛围十分友好，服务周到，在这里用餐相当轻松自在。除了香浓醇正的咖啡，在这里不妨享用一餐，餐食种类多样，富有创意，而且特别的美味。,Introduction
intro_0003,墨尔本高水准的咖啡馆，咖啡好喝，食物新鲜美味，上菜很快。餐厅布局美观，设计别致，用餐氛围很休闲放松。该店生意火爆，经常有排队长龙的情况出现。,Introduction
intro_0004,Mad Spuds Cafe一家很棒的咖啡馆，提供营养早餐和美味的咖啡。餐厅还有素食菜单，满足了素食者的需要，早餐时间点人很多。工作人员服务热情，气氛轻松。,Introduction
intro_0005,悉尼好吃的日本料理餐厅，坐落在岩石区的中心地带，餐厅选择很丰富，尤其以寿司出名，这里提供优质的日本清酒和烧酒，以及各种葡萄酒和精品啤酒。,Introduction
intro_0006,这家法式小酒馆隐身于著名的Woollahra酒店中，极具情调，是晚上约会用餐的好地方。这里没有传统法式餐厅的拘谨与严肃，在保留华丽精致的同时又多了一份轻松惬意的氛围，难怪吸引了众多情侣来此吃晚餐。,Introduction
intro_0007,Sixpenny是一家非常典雅的餐厅，白色纱幔搭配木制桌椅，显得整个餐厅干净明亮。餐厅主要提供季节性菜肴，小规模生产商保证了优质的食材来源。主厨用当地新鲜食材，打造出一系列的美味，菜肴摆盘也十分精致，如同艺术品一般。,Introduction
intro_0008,Catalina餐厅位于Lyne公园内，毗邻Rose Bay，在露台用餐可以看到美丽的海景和日落。食物口感丰富，摆盘精美，海鲜非常新鲜实在，是个享受悉尼美食的好去处。,Introduction
intro_0009,Rare Steakhouse餐厅位于Collins大街的一条小巷子里面，巷子口有指示牌，不难找。餐厅致力于为顾客提供最好的澳大利亚牛肉，他们家的牛肉选自全国各地，从维多利亚的Gippsland和Ballan，到南澳的Murray Bridge和昆士兰的Rockhampton，肉质都很棒。另外，还推荐尝试一下他们家的Calamari、Garlic Prawns和Oysters等。,Introduction
intro_0010,悉尼有名的韩国料理，主打韩式烤肉，还有许多其他韩式美食，菜品种类丰富，味道较为正宗。此外，餐厅午餐时段还会供应午餐盒子，配菜丰富多样，味道也值得称赞。,Introduction
intro_0011,这是一家风格轻松愉快的咖啡馆，地理位置很中心，离中央车站不远。店里提供很多健康食品，店内很宽敞，周边是美丽的自然风景。如果愿意的话在小咖啡馆消磨一天的时间也可以。,Introduction
intro_0012,想要享用一顿慵懒的阳光早午餐，来Cafe Oratnek试试吧。这家餐厅由日本厨师Kenny Takayama开办，他善于制作各式甜品，选用的食材新鲜健康，将日本料理的元素融入到西式甜品中，尤其各种抹茶味的食物颇受欢迎。餐厅室内有质朴的墙壁、地砖和木制桌椅，室外则有一片美丽的花园，就餐环境很赞。,Introduction
intro_0013,一家环境优雅的亚洲及澳洲风味餐厅，小小的空间里散发着浓郁的古典气息，改良口味的现代菜品精致美味，绝佳的服务令人流连忘返。除了各式菜肴，这里的酒单也很丰富。,Introduction
intro_0014,Patricias Coffee Brewers是墨尔本人气非常高的一家咖啡馆，店内出售香浓的咖啡、蛋糕饼干和包装好的咖啡产品，早餐时段人满为患，来到墨尔本一定要体验下当地的咖啡文化。,Introduction
