RateID:ID,Rate,:LABEL
rate_0001,1.5,Rate
rate_0002,2.5,Rate
rate_0003,3,Rate
rate_0004,3.5,Rate
rate_0005,5,Rate
rate_0006,4.5,Rate
rate_0007,4,Rate
rate_0008,2,Rate
rate_0009,1,Rate
rate_0010,4.4,Rate
rate_0011,4.6,Rate
rate_0012,4.7,Rate
rate_0013,4.8,Rate
rate_0014,4.1,Rate
rate_0015,4.9,Rate
rate_0016,3.6,Rate
rate_0017,3.1,Rate
rate_0018,2.3,Rate
rate_0019,3.8,Rate
rate_0020,3.7,Rate
rate_0021,3.2,Rate
rate_0022,3.3,Rate
rate_0023,4.3,Rate
rate_0024,4.2,Rate
rate_0025,2.9,Rate
rate_0026,3.9,Rate
rate_0027,3.4,Rate
