TelID:ID,Tel,:LABEL
tel_0001,03-95602898,Tel
tel_0002,+61 3 9417 2250,Tel
tel_0003,+61 3 9620 3332,Tel
tel_0004,-99726935,Tel
tel_0005,-94294274,Tel
tel_0006,-93889951,Tel
tel_0007,-96988049,Tel
tel_0008,-92595597,Tel
tel_0009,+61 2 9327 9777,Tel
tel_0010,-95726607,Tel
tel_0011,-93710496,Tel
tel_0012,+61 3 9663 3373,Tel
tel_0013,-80848982,Tel
tel_0014,-92815139,Tel
tel_0015,-83949491,Tel
tel_0016,+61 3 9428 3526,Tel
tel_0017,-96422179,Tel
tel_0018,-99383272,Tel
tel_0019,+61 2 9250 6206,Tel
tel_0020,-92316729,Tel
tel_0021,61-2-92113568,Tel
tel_0022,-98109066,Tel
tel_0023,-92411426,Tel
tel_0024,-92677721,Tel
tel_0025,-83540829,Tel
tel_0026,-93576041,Tel
tel_0027,+61 2 9283 7279,Tel
tel_0028,6191304042,Tel
tel_0029,+61 2 9256 4000,Tel
tel_0030,-91881522,Tel
tel_0031,-92527829,Tel
tel_0032,+61 2 9411 4411,Tel
tel_0033,+61 2 9572 6685,Tel
tel_0034,-88361341,Tel
tel_0035,+61 426 743 161,Tel
tel_0036,-86583069,Tel
tel_0037,-93179734,Tel
tel_0038,-82140446,Tel
tel_0039,"+61-7-33921006,+61-4-90608777",Tel
tel_0040,-92819241,Tel
tel_0041,-92928830,Tel
tel_0042,-33640783,Tel
tel_0043,-96420718,Tel
tel_0044,-30200546,Tel
tel_0045,-96629947,Tel
tel_0046,-92127453,Tel
tel_0047,-92123842,Tel
tel_0048,-93228119,Tel
tel_0049,-92927821,Tel
tel_0050,-96505467,Tel
tel_0051,-38429862,Tel
tel_0052,+61 7 3211 2161,Tel
tel_0053,-99398094,Tel
tel_0054,-90781628,Tel
tel_0055,+61 8 9325 3900,Tel
tel_0056,-91328902,Tel
tel_0057,+61 7 3844 7777,Tel
tel_0058,+61 7 3003 4700,Tel
tel_0059,+61 7 3220 2511,Tel
tel_0060,-32364801,Tel
tel_0061,-38318290,Tel
tel_0062,-37255746,Tel
tel_0063,-55757484,Tel
tel_0064,-92818992,Tel
tel_0065,-92614999,Tel
tel_0066,+61 7 3868 3762,Tel
tel_0067,-32313211,Tel
tel_0068,+61 7 3306 8888,Tel
tel_0069,-92112151,Tel
tel_0070,-81168496,Tel
tel_0071,-92521137,Tel
tel_0072,-55917693,Tel
tel_0073,-55045281,Tel
tel_0074,-55362246,Tel
tel_0075,-40509971,Tel
tel_0076,+61 3 9663 8885,Tel
tel_0077,-94194830,Tel
tel_0078,-96548750,Tel
tel_0079,-96913830,Tel
tel_0080,-96624177,Tel
tel_0081,-96295842,Tel
tel_0082,-96420382,Tel
tel_0083,-94175872,Tel
tel_0084,-94548954,Tel
tel_0085,-96500790,Tel
tel_0086,-32293121,Tel
tel_0087,-32682169,Tel
tel_0088,+61 7 3221 7655,Tel
tel_0089,-55267212,Tel
tel_0090,-55310123,Tel
tel_0091,-90291696,Tel
tel_0092,+61 8 9221 0885,Tel
tel_0093,-40514434,Tel
tel_0094,61-4-88341958,Tel
tel_0095,-40318762,Tel
tel_0096,-57728579,Tel
tel_0097,-40321463,Tel
tel_0098,-40311145,Tel
tel_0099,-55399898,Tel
tel_0100,"+61-7-55929906,+61-7-55929907",Tel
tel_0101,-55389279,Tel
tel_0102,+61 1300 274 648,Tel
tel_0103,-92313880,Tel
tel_0104,+61 2 9231 2177,Tel
tel_0105,-92471607,Tel
tel_0106,-92474896,Tel
tel_0107,-10253123,Tel
tel_0108,-92111749,Tel
tel_0109,-930428,Tel
tel_0110,-92547950,Tel
tel_0111,-92515541,Tel
tel_0112,-92524555,Tel
tel_0113,-996678,Tel
tel_0114,-96548875,Tel
tel_0115,+61 7 3221 1300,Tel
tel_0116,-32114188,Tel
tel_0117,+61 3 9602 5611,Tel
tel_0118,-93267691,Tel
tel_0119,-32662368,Tel
tel_0120,+61 7 3262 5988,Tel
tel_0121,-33669976,Tel
tel_0122,"+61-7-32522400,+61-7-32521744",Tel
tel_0123,-98672824,Tel
tel_0124,-96703079,Tel
tel_0125,+61 3 9245 9800,Tel
tel_0126,-38445991,Tel
tel_0127,+61 7 3369 9500,Tel
tel_0128,+61 7 3257 2969,Tel
tel_0129,-765248,Tel
tel_0130,-38915723,Tel
tel_0131,-33672117,Tel
tel_0132,-38353481,Tel
tel_0133,+61 1300 989 989,Tel
tel_0134,-55929718,Tel
tel_0135,"+61-7-32685146,+61-7-31720259",Tel
tel_0136,-86481842,Tel
tel_0137,396865088,Tel
tel_0138,-96004172,Tel
tel_0139,-96450007,Tel
tel_0140,+61 3 9415 6420,Tel
tel_0141,-93475701,Tel
tel_0142,+61 3 9347 4393,Tel
tel_0143,+61 2 6260 8666,Tel
tel_0144,-96537686,Tel
tel_0145,+61 7 3369 9922,Tel
tel_0146,+61 2 9438 3612,Tel
tel_0147,-96335946,Tel
tel_0148,-86481941,Tel
tel_0149,+61 2 7200 5577,Tel
tel_0150,-93604703,Tel
