TimeID:ID,Time,:LABEL
time_0001,营业中 17:00-22:30,Time
time_0002,营业中 11:00-22:00,Time
time_0003,营业中 08:30-21:00,Time
time_0004,休息中 明天{08:00}营业,Time
time_0005,休息中 明天{07:00}营业,Time
time_0006,休息中 明天{07:00}营业,Time
time_0007,休息中 明天{08:00}营业,Time
time_0008,营业中 18:00-22:30,Time
time_0009,营业中 12:00-0:00,Time
time_0010,营业中 18:00-23:00,Time
time_0011,营业中 12:00-21:00,Time
time_0012,营业中 17:00-22:00,Time
time_0013,营业中 11:30-01:00,Time
time_0014,休息中 明天{06:30}营业,Time
time_0015,休息中 明天{07:00}营业,Time
time_0016,营业中 17:30-21:30,Time
time_0017,休息中 明天{07:00}营业,Time
time_0018,营业中 18:00-22:00,Time
time_0019,营业中 18:00-22:00,Time
time_0020,休息中 明天{11:00}营业,Time
time_0021,休息中 明天{06:30}营业,Time
time_0022,营业中 18:00-22:00,Time
time_0023,营业中 12:00-00:00,Time
time_0024,营业中 11:00-22:00,Time
time_0025,营业中 18:00-22:00,Time
time_0026,营业中 17:30-23:00,Time
time_0027,休息中 明天{10:00}营业,Time
time_0028,营业中 12:45-23:00,Time
time_0029,营业中 15:00-22:00,Time
time_0030,营业中 12:00-22:00,Time
time_0031,营业中 12:00-22:00,Time
time_0032,营业中 17:30-21:00,Time
time_0033,休息中 明天{08:30}营业,Time
time_0034,营业中 11:00-23:00,Time
time_0035,营业中 18:00-23:00,Time
time_0036,营业中 10:00-22:00,Time
time_0037,休息中 明天{07:00}营业,Time
time_0038,营业中 18:00-22:00,Time
time_0039,营业中 17:30-20:30,Time
time_0040,休息中 明天{07:00}营业,Time
time_0041,全天开放，圣诞节，耶稣受难日和澳新军团日4:00-12:00关闭。,Time
time_0042,营业中 17:30-21:30,Time
time_0043,营业中 18:00-22:00,Time
time_0044,周一-周四12:00-深夜，周五-周日11:00-深夜。,Time
time_0045,营业中 17:30-22:00,Time
time_0046,营业中 17:00-22:00,Time
time_0047,营业中 12:00-04:00,Time
time_0048,营业中 06:30-22:30,Time
time_0049,营业中 12:00-22:00,Time
time_0050,营业中 12:00-23:45,Time
time_0051,休息中 明天{11:00}营业,Time
time_0052,休息中 明天{06:30}营业,Time
time_0053,营业中 11:00-00:00,Time
time_0054,营业中 17:30-22:00,Time
time_0055,营业中 17:00-21:30,Time
time_0056,营业中 06:45-21:30,Time
time_0057,休息中 明天{07:00}营业,Time
time_0058,营业中 11:00-00:00,Time
time_0059,营业中 11:00-22:00,Time
time_0060,营业中 07:00-22:00,Time
time_0061,营业中 11:30-23:30,Time
time_0062,营业中 17:30-22:00,Time
time_0063,营业中 10:00-03:30,Time
time_0064,休息中 明天{06:00}营业,Time
time_0065,营业中 10:00-22:00,Time
time_0066,营业中 11:00-22:00,Time
time_0067,营业中 17:30-21:00,Time
time_0068,营业中 07:00-22:00,Time
time_0069,营业中 11:00-22:00,Time
time_0070,周一-周三：17:00-深夜，周四、周五：12:00-15:00，17:00-深夜，周六、周日：12:00-深夜；圣诞节前夜、12月27日、28日、新年前夜：12:00-15:00，17:00-深夜；节礼日、新年全天用餐；圣诞节关闭。,Time
time_0071,营业中 12:00-22:30,Time
time_0072,休息中 明天{07:30}营业,Time
time_0073,休息中 明天{09:00}营业,Time
time_0074,营业中 12:00-22:00,Time
time_0075,营业中 11:00-20:30,Time
time_0076,营业中 17:30-21:00,Time
time_0077,营业中 9:00-22:00,Time
time_0078,休息中 明天{17:30}营业,Time
time_0079,营业中 12:00-21:00,Time
time_0080,营业中 18:00-23:45,Time
time_0081,休息中 明天{10:00}营业,Time
time_0082,营业中 12:00-22:00,Time
time_0083,营业中 17:00-21:30,Time
time_0084,休息中 明天{07:00}营业,Time
time_0085,休息中 明天{07:00}营业,Time
time_0086,营业中 18:00-21:30,Time
time_0087,营业中 17:30-23:00,Time
time_0088,营业中 11:30-21:00,Time
time_0089,营业中 11:30-00:00,Time
time_0090,营业中 17:30-21:00,Time
time_0091,"周一-周日11:30-15:00, 17:30-营业结束。",Time
time_0092,休息中,Time
time_0093,营业中 17:30-21:30,Time
time_0094,营业中 17:30-21:30,Time
time_0095,休息中 明天{10:30}营业,Time
time_0096,休息中 明天{06:00}营业,Time
time_0097,营业中 18:00-22:30,Time
time_0098,休息中 明天{06:30}营业,Time
time_0099,营业中 17:30-21:00,Time
time_0100,"周一-周日12:00-15:00,17:30-深夜",Time
time_0101,营业中 19:30-21:00,Time
time_0102,营业中 17:00-21:30,Time
time_0103,营业中 11:00-22:30,Time
time_0104,营业中 18:00-22:00,Time
time_0105,日 - 土:18:00 - 22:30;月 - 金:12:00 - 14:30;,Time
time_0106,营业中 10:00-21:00,Time
time_0107,休息中 明天{11:00}营业,Time
