:START_ID,:END_ID,:TYPE
food_0001,addr_0001,Address
food_0002,addr_0002,Address
food_0003,addr_0003,Address
food_0004,addr_0004,Address
food_0005,addr_0005,Address
food_0006,addr_0006,Address
food_0007,addr_0007,Address
food_0008,addr_0008,Address
food_0009,addr_0009,Address
food_0010,addr_0010,Address
food_0011,addr_0011,Address
food_0012,addr_0012,Address
food_0013,addr_0013,Address
food_0014,addr_0014,Address
food_0015,addr_0015,Address
food_0016,addr_0016,Address
food_0017,addr_0017,Address
food_0018,addr_0018,Address
food_0019,addr_0019,Address
food_0020,addr_0020,Address
food_0021,addr_0021,Address
food_0022,addr_0022,Address
food_0023,addr_0023,Address
food_0024,addr_0024,Address
food_0025,addr_0025,Address
food_0026,addr_0026,Address
food_0027,addr_0027,Address
food_0028,addr_0028,Address
food_0029,addr_0029,Address
food_0030,addr_0030,Address
food_0031,addr_0031,Address
food_0032,addr_0032,Address
food_0033,addr_0033,Address
food_0034,addr_0034,Address
food_0035,addr_0035,Address
food_0036,addr_0036,Address
food_0037,addr_0037,Address
food_0038,addr_0038,Address
food_0039,addr_0039,Address
food_0040,addr_0040,Address
food_0041,addr_0041,Address
food_0042,addr_0042,Address
food_0043,addr_0043,Address
food_0044,addr_0044,Address
food_0045,addr_0045,Address
food_0046,addr_0046,Address
food_0047,addr_0047,Address
food_0048,addr_0048,Address
food_0049,addr_0049,Address
food_0050,addr_0050,Address
food_0051,addr_0051,Address
food_0052,addr_0052,Address
food_0053,addr_0053,Address
food_0054,addr_0054,Address
food_0055,addr_0055,Address
food_0056,addr_0056,Address
food_0057,addr_0057,Address
food_0058,addr_0058,Address
food_0059,addr_0059,Address
food_0060,addr_0060,Address
food_0061,addr_0061,Address
food_0062,addr_0062,Address
food_0063,addr_0063,Address
food_0064,addr_0064,Address
food_0065,addr_0065,Address
food_0066,addr_0066,Address
food_0067,addr_0067,Address
food_0068,addr_0068,Address
food_0069,addr_0069,Address
food_0070,addr_0070,Address
food_0071,addr_0071,Address
food_0072,addr_0072,Address
food_0073,addr_0073,Address
food_0074,addr_0074,Address
food_0075,addr_0075,Address
food_0076,addr_0076,Address
food_0077,addr_0077,Address
food_0078,addr_0078,Address
food_0079,addr_0079,Address
food_0080,addr_0080,Address
food_0081,addr_0081,Address
food_0082,addr_0082,Address
food_0083,addr_0083,Address
food_0084,addr_0084,Address
food_0085,addr_0085,Address
food_0086,addr_0086,Address
food_0087,addr_0087,Address
food_0088,addr_0088,Address
food_0089,addr_0089,Address
food_0090,addr_0090,Address
food_0091,addr_0091,Address
food_0092,addr_0092,Address
food_0093,addr_0093,Address
food_0094,addr_0094,Address
food_0095,addr_0095,Address
food_0096,addr_0096,Address
food_0097,addr_0097,Address
food_0098,addr_0098,Address
food_0099,addr_0099,Address
food_0100,addr_0100,Address
food_0101,addr_0101,Address
food_0102,addr_0102,Address
food_0103,addr_0103,Address
food_0104,addr_0104,Address
food_0105,addr_0105,Address
food_0106,addr_0106,Address
food_0107,addr_0107,Address
food_0108,addr_0108,Address
food_0109,addr_0109,Address
food_0110,addr_0110,Address
food_0111,addr_0111,Address
food_0112,addr_0112,Address
food_0113,addr_0113,Address
food_0114,addr_0114,Address
food_0115,addr_0115,Address
food_0116,addr_0116,Address
food_0117,addr_0117,Address
food_0118,addr_0118,Address
food_0119,addr_0119,Address
food_0120,addr_0120,Address
food_0121,addr_0121,Address
food_0122,addr_0122,Address
food_0123,addr_0123,Address
food_0124,addr_0124,Address
food_0125,addr_0125,Address
food_0126,addr_0126,Address
food_0127,addr_0127,Address
food_0128,addr_0128,Address
food_0129,addr_0129,Address
food_0130,addr_0130,Address
food_0131,addr_0131,Address
food_0132,addr_0132,Address
food_0133,addr_0133,Address
food_0134,addr_0134,Address
food_0135,addr_0135,Address
food_0136,addr_0136,Address
food_0137,addr_0137,Address
food_0138,addr_0138,Address
food_0139,addr_0139,Address
food_0140,addr_0140,Address
food_0141,addr_0141,Address
food_0142,addr_0142,Address
food_0143,addr_0143,Address
food_0144,addr_0144,Address
food_0145,addr_0145,Address
food_0146,addr_0146,Address
food_0147,addr_0147,Address
food_0148,addr_0148,Address
food_0149,addr_0149,Address
food_0150,addr_0150,Address
food_0151,addr_0151,Address
food_0152,addr_0152,Address
food_0153,addr_0153,Address
food_0154,addr_0154,Address
food_0155,addr_0155,Address
food_0156,addr_0156,Address
food_0157,addr_0157,Address
food_0158,addr_0158,Address
food_0159,addr_0159,Address
food_0160,addr_0160,Address
food_0161,addr_0161,Address
food_0162,addr_0162,Address
food_0163,addr_0163,Address
food_0164,addr_0164,Address
food_0165,addr_0165,Address
food_0166,addr_0166,Address
food_0167,addr_0167,Address
food_0168,addr_0168,Address
food_0169,addr_0169,Address
food_0170,addr_0170,Address
food_0171,addr_0171,Address
food_0172,addr_0172,Address
food_0173,addr_0173,Address
food_0174,addr_0174,Address
food_0175,addr_0175,Address
food_0176,addr_0176,Address
food_0177,addr_0177,Address
food_0178,addr_0178,Address
food_0179,addr_0179,Address
food_0180,addr_0180,Address
food_0181,addr_0181,Address
food_0182,addr_0182,Address
food_0183,addr_0183,Address
food_0184,addr_0184,Address
food_0185,addr_0185,Address
food_0186,addr_0186,Address
food_0187,addr_0187,Address
food_0188,addr_0188,Address
food_0189,addr_0189,Address
food_0190,addr_0190,Address
food_0191,addr_0191,Address
food_0192,addr_0192,Address
food_0193,addr_0193,Address
food_0194,addr_0194,Address
food_0195,addr_0195,Address
food_0196,addr_0196,Address
food_0197,addr_0197,Address
food_0198,addr_0198,Address
food_0199,addr_0199,Address
food_0200,addr_0200,Address
food_0201,addr_0201,Address
food_0202,addr_0202,Address
food_0203,addr_0203,Address
food_0204,addr_0204,Address
food_0205,addr_0205,Address
food_0206,addr_0206,Address
food_0207,addr_0207,Address
food_0208,addr_0208,Address
food_0209,addr_0209,Address
food_0210,addr_0210,Address
food_0211,addr_0211,Address
food_0212,addr_0212,Address
food_0213,addr_0213,Address
food_0214,addr_0214,Address
food_0215,addr_0215,Address
food_0216,addr_0216,Address
food_0217,addr_0217,Address
food_0218,addr_0218,Address
food_0219,addr_0219,Address
food_0220,addr_0220,Address
food_0221,addr_0221,Address
food_0222,addr_0222,Address
food_0223,addr_0223,Address
food_0224,addr_0224,Address
food_0225,addr_0225,Address
food_0226,addr_0226,Address
food_0227,addr_0227,Address
food_0228,addr_0228,Address
food_0229,addr_0229,Address
food_0230,addr_0230,Address
food_0231,addr_0231,Address
food_0232,addr_0232,Address
food_0233,addr_0233,Address
food_0234,addr_0234,Address
food_0235,addr_0235,Address
food_0236,addr_0236,Address
food_0237,addr_0237,Address
food_0238,addr_0238,Address
food_0239,addr_0239,Address
food_0240,addr_0240,Address
food_0241,addr_0241,Address
food_0242,addr_0242,Address
food_0243,addr_0243,Address
food_0244,addr_0244,Address
food_0245,addr_0245,Address
food_0246,addr_0246,Address
food_0247,addr_0247,Address
food_0248,addr_0248,Address
food_0249,addr_0249,Address
food_0250,addr_0250,Address
food_0251,addr_0251,Address
food_0252,addr_0252,Address
food_0253,addr_0253,Address
food_0254,addr_0254,Address
food_0255,addr_0255,Address
food_0256,addr_0256,Address
food_0257,addr_0257,Address
food_0258,addr_0258,Address
food_0259,addr_0259,Address
food_0260,addr_0260,Address
food_0261,addr_0261,Address
food_0262,addr_0262,Address
food_0263,addr_0263,Address
food_0264,addr_0264,Address
food_0265,addr_0265,Address
food_0266,addr_0266,Address
food_0267,addr_0267,Address
food_0268,addr_0268,Address
food_0269,addr_0269,Address
food_0270,addr_0270,Address
food_0271,addr_0271,Address
food_0272,addr_0272,Address
food_0273,addr_0273,Address
food_0274,addr_0274,Address
food_0275,addr_0275,Address
food_0276,addr_0276,Address
food_0277,addr_0277,Address
food_0278,addr_0278,Address
food_0279,addr_0279,Address
food_0280,addr_0280,Address
food_0281,addr_0281,Address
food_0282,addr_0282,Address
food_0283,addr_0283,Address
food_0284,addr_0284,Address
food_0285,addr_0285,Address
food_0286,addr_0286,Address
food_0287,addr_0287,Address
food_0288,addr_0288,Address
food_0289,addr_0289,Address
food_0290,addr_0290,Address
food_0291,addr_0291,Address
food_0292,addr_0292,Address
food_0293,addr_0293,Address
food_0294,addr_0294,Address
food_0295,addr_0295,Address
food_0296,addr_0296,Address
food_0297,addr_0297,Address
food_0298,addr_0298,Address
food_0299,addr_0299,Address
food_0300,addr_0300,Address
food_0301,addr_0301,Address
food_0302,addr_0302,Address
food_0303,addr_0303,Address
food_0304,addr_0304,Address
food_0305,addr_0305,Address
food_0306,addr_0306,Address
food_0307,addr_0307,Address
food_0308,addr_0308,Address
food_0309,addr_0309,Address
food_0310,addr_0310,Address
food_0311,addr_0311,Address
food_0312,addr_0312,Address
food_0313,addr_0313,Address
food_0314,addr_0314,Address
food_0315,addr_0315,Address
food_0316,addr_0316,Address
food_0317,addr_0317,Address
food_0318,addr_0318,Address
food_0319,addr_0319,Address
food_0320,addr_0320,Address
food_0321,addr_0321,Address
food_0322,addr_0322,Address
food_0323,addr_0323,Address
food_0324,addr_0324,Address
food_0325,addr_0325,Address
food_0326,addr_0326,Address
food_0327,addr_0327,Address
food_0328,addr_0328,Address
food_0329,addr_0329,Address
food_0330,addr_0330,Address
food_0331,addr_0331,Address
food_0332,addr_0332,Address
food_0333,addr_0333,Address
food_0334,addr_0334,Address
food_0335,addr_0335,Address
food_0336,addr_0336,Address
food_0337,addr_0337,Address
food_0338,addr_0338,Address
food_0339,addr_0339,Address
food_0340,addr_0340,Address
food_0341,addr_0341,Address
food_0342,addr_0342,Address
food_0343,addr_0343,Address
food_0344,addr_0344,Address
food_0345,addr_0345,Address
food_0346,addr_0346,Address
food_0347,addr_0347,Address
food_0348,addr_0348,Address
food_0349,addr_0349,Address
food_0350,addr_0350,Address
food_0351,addr_0351,Address
food_0352,addr_0352,Address
food_0353,addr_0353,Address
food_0354,addr_0354,Address
food_0355,addr_0355,Address
food_0356,addr_0356,Address
food_0357,addr_0357,Address
food_0358,addr_0358,Address
food_0359,addr_0359,Address
food_0360,addr_0360,Address
food_0361,addr_0361,Address
food_0362,addr_0362,Address
food_0363,addr_0363,Address
food_0364,addr_0364,Address
food_0365,addr_0365,Address
food_0366,addr_0366,Address
food_0367,addr_0367,Address
food_0368,addr_0368,Address
food_0369,addr_0369,Address
food_0370,addr_0370,Address
food_0371,addr_0371,Address
food_0372,addr_0372,Address
food_0373,addr_0373,Address
food_0374,addr_0374,Address
food_0375,addr_0375,Address
food_0376,addr_0376,Address
food_0377,addr_0377,Address
food_0378,addr_0378,Address
food_0379,addr_0379,Address
food_0380,addr_0380,Address
food_0381,addr_0381,Address
food_0382,addr_0382,Address
food_0383,addr_0383,Address
food_0384,addr_0384,Address
food_0385,addr_0385,Address
food_0386,addr_0386,Address
food_0387,addr_0387,Address
food_0388,addr_0388,Address
food_0389,addr_0389,Address
food_0390,addr_0390,Address
food_0391,addr_0391,Address
food_0392,addr_0392,Address
food_0393,addr_0393,Address
food_0394,addr_0394,Address
food_0395,addr_0395,Address
food_0396,addr_0396,Address
