:START_ID,:END_ID,:TYPE
hotel_0001,rate_0006,Rate
hotel_0002,rate_0006,Rate
hotel_0003,rate_0006,Rate
hotel_0004,rate_0006,Rate
hotel_0005,rate_0006,Rate
hotel_0007,rate_0006,Rate
hotel_0008,rate_0006,Rate
hotel_0009,rate_0006,Rate
hotel_0014,rate_0006,Rate
hotel_0015,rate_0006,Rate
hotel_0020,rate_0006,Rate
hotel_0024,rate_0006,Rate
hotel_0031,rate_0006,Rate
hotel_0032,rate_0006,Rate
hotel_0033,rate_0006,Rate
hotel_0034,rate_0006,Rate
hotel_0036,rate_0006,Rate
hotel_0037,rate_0006,Rate
hotel_0038,rate_0006,Rate
hotel_0039,rate_0006,Rate
hotel_0041,rate_0006,Rate
hotel_0042,rate_0006,Rate
hotel_0043,rate_0006,Rate
hotel_0046,rate_0006,Rate
hotel_0051,rate_0006,Rate
hotel_0052,rate_0006,Rate
hotel_0055,rate_0006,Rate
hotel_0060,rate_0006,Rate
hotel_0061,rate_0006,Rate
hotel_0062,rate_0006,Rate
hotel_0064,rate_0006,Rate
hotel_0065,rate_0006,Rate
hotel_0066,rate_0006,Rate
hotel_0067,rate_0006,Rate
hotel_0071,rate_0006,Rate
hotel_0072,rate_0006,Rate
hotel_0076,rate_0006,Rate
hotel_0079,rate_0006,Rate
hotel_0086,rate_0006,Rate
hotel_0091,rate_0006,Rate
hotel_0092,rate_0006,Rate
hotel_0094,rate_0006,Rate
hotel_0108,rate_0006,Rate
hotel_0117,rate_0006,Rate
hotel_0120,rate_0006,Rate
hotel_0123,rate_0006,Rate
hotel_0125,rate_0006,Rate
hotel_0132,rate_0006,Rate
hotel_0147,rate_0006,Rate
hotel_0148,rate_0006,Rate
hotel_0152,rate_0006,Rate
hotel_0160,rate_0006,Rate
hotel_0169,rate_0006,Rate
hotel_0181,rate_0006,Rate
hotel_0187,rate_0006,Rate
hotel_0192,rate_0006,Rate
hotel_0201,rate_0006,Rate
hotel_0202,rate_0006,Rate
hotel_0211,rate_0006,Rate
hotel_0213,rate_0006,Rate
hotel_0215,rate_0006,Rate
hotel_0222,rate_0006,Rate
hotel_0223,rate_0006,Rate
hotel_0224,rate_0006,Rate
hotel_0225,rate_0006,Rate
hotel_0239,rate_0006,Rate
hotel_0240,rate_0006,Rate
hotel_0249,rate_0006,Rate
hotel_0267,rate_0006,Rate
hotel_0269,rate_0006,Rate
hotel_0270,rate_0006,Rate
hotel_0271,rate_0006,Rate
hotel_0272,rate_0006,Rate
hotel_0274,rate_0006,Rate
hotel_0276,rate_0006,Rate
hotel_0277,rate_0006,Rate
hotel_0278,rate_0006,Rate
hotel_0279,rate_0006,Rate
hotel_0280,rate_0006,Rate
hotel_0281,rate_0006,Rate
hotel_0282,rate_0006,Rate
hotel_0283,rate_0006,Rate
hotel_0286,rate_0006,Rate
hotel_0292,rate_0006,Rate
hotel_0296,rate_0006,Rate
hotel_0297,rate_0006,Rate
hotel_0298,rate_0006,Rate
hotel_0299,rate_0006,Rate
hotel_0301,rate_0006,Rate
hotel_0303,rate_0006,Rate
hotel_0304,rate_0006,Rate
hotel_0308,rate_0006,Rate
hotel_0309,rate_0006,Rate
hotel_0311,rate_0006,Rate
hotel_0315,rate_0006,Rate
hotel_0316,rate_0006,Rate
hotel_0317,rate_0006,Rate
hotel_0320,rate_0006,Rate
hotel_0324,rate_0006,Rate
hotel_0325,rate_0006,Rate
hotel_0326,rate_0006,Rate
hotel_0328,rate_0006,Rate
hotel_0330,rate_0006,Rate
hotel_0333,rate_0006,Rate
